"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.451869667E0,2.103955369E0,2.532604516E-2,3.457090241E-1,2.132319003E0
2.461898667E0,1.694890009E0,3.469465873E-1,-2.823305858E0,3.311205226E0
2.471928667E0,8.245895541E-1,2.021590027E-1,-5.682462165E0,5.745536742E0
2.481957667E0,7.108781666E-2,-7.241864294E-2,-7.465062456E0,7.465752166E0
2.491986667E0,5.764652967E-2,-5.051175714E-2,-8.300280493E0,8.300634363E0
2.502015667E0,-5.407665834E-1,-6.447736394E-1,-8.812505940E0,8.852594111E0
2.512044667E0,-1.795313453E0,-1.918031745E0,-9.180769429E0,9.549268217E0
2.522073292E0,-2.237209905E0,-2.569458639E0,-8.665444958E0,9.311131090E0
2.532103292E0,-2.939128675E0,-2.470608242E0,-7.739995027E0,8.640017678E0
2.542132292E0,-3.650685704E0,-2.143426413E0,-7.409917365E0,8.533970837E0
2.552161292E0,-3.597869559E0,-2.058815449E0,-8.099791163E0,9.098901214E0
2.562190292E0,-3.106442658E0,-2.185063266E0,-9.452779562E0,1.018722381E1
2.572219292E0,-2.828896089E0,-2.376464269E0,-1.077091739E1,1.138696170E1
2.582248292E0,-2.398820368E0,-2.507611762E0,-1.168358589E1,1.218805297E1
2.592278292E0,-1.811147713E0,-2.653736020E0,-1.223215529E1,1.264706266E1
2.602307292E0,-1.368778220E0,-2.833039718E0,-1.185424039E1,1.226469254E1
2.612336292E0,-1.003833172E0,-3.299773535E0,-1.100333485E1,1.153124297E1
2.622365292E0,-1.108208749E0,-3.532803205E0,-9.808386753E0,1.048395325E1
2.632394292E0,-1.478937278E0,-3.757203847E0,-8.620797374E0,9.519557951E0
2.642423292E0,-1.930186791E0,-3.995382867E0,-7.726394404E0,8.909875183E0
2.652453292E0,-2.228017790E0,-4.071925259E0,-6.990592480E0,8.391246738E0
2.662482292E0,-2.412583982E0,-4.035020850E0,-6.482662983E0,8.007925704E0
2.672511292E0,-2.483734364E0,-3.935518196E0,-6.306353644E0,7.837559323E0
2.682540292E0,-2.646030559E0,-3.816261017E0,-6.608568154E0,8.077035280E0
2.692569292E0,-2.670705224E0,-3.688925617E0,-6.995145707E0,8.347029536E0
2.702598292E0,-2.404370399E0,-3.478136416E0,-6.848843109E0,8.048918056E0
2.712628292E0,-2.224105856E0,-3.218539630E0,-6.486271884E0,7.574784958E0
2.722657292E0,-1.773588854E0,-3.190085324E0,-6.556137925E0,7.503679517E0
2.732686292E0,-1.209757490E0,-2.956867081E0,-6.934931665E0,7.635434062E0
2.742715292E0,-8.272213858E-1,-3.040672300E0,-6.995948530E0,7.672892485E0
2.752744292E0,-1.013661319E0,-3.274186119E0,-7.110573252E0,7.893545210E0
2.762773292E0,-1.527541966E0,-3.607542900E0,-6.880954848E0,7.918035732E0
2.772803292E0,-1.851588956E0,-3.911696640E0,-6.322534643E0,7.661866390E0
2.782832292E0,-1.532470730E0,-4.094813600E0,-5.639627802E0,7.135920873E0
2.792861292E0,-7.817312175E-1,-3.953886055E0,-5.736961724E0,7.011208772E0
2.802890292E0,-4.041641140E-1,-3.521192096E0,-6.129535596E0,7.080490734E0
2.812919292E0,-7.583864283E-2,-2.899543318E0,-6.451653444E0,7.073679037E0
2.822948292E0,2.547109265E-1,-2.351289375E0,-6.359484369E0,6.785018851E0
2.832978292E0,1.269720686E0,-2.122694818E0,-5.361696779E0,5.904728296E0
2.843007292E0,1.793411646E0,-1.548091859E0,-4.289766494E0,4.900511229E0
2.853036292E0,1.381927878E0,-7.239437699E-3,-3.617409784E0,3.872393396E0
2.863065292E0,-3.275057647E-1,2.963526475E0,-3.229872703E0,4.395660004E0
2.873094292E0,-2.916852246E0,7.024303433E0,-3.278489962E0,8.282352454E0
2.883123292E0,-4.697166567E0,1.073398988E1,-4.081178770E0,1.240717263E1
2.893153292E0,-3.816950988E0,1.216232316E1,-3.359893144E0,1.318256809E1
2.903182292E0,-1.606968789E0,1.120671622E1,2.267733833E0,1.154623115E1
2.913211292E0,-4.106055530E-1,8.994033920E0,9.637910011E0,1.318903152E1
2.923240292E0,-1.740957297E-1,6.247376288E0,1.557205213E1,1.677941677E1
2.933269292E0,1.930735990E-1,3.626364210E0,2.049774659E1,2.081695007E1
2.943298292E0,3.604660077E-1,1.255659156E0,2.384444023E1,2.388019987E1
2.953328292E0,1.264310550E-1,-5.377880117E-1,2.532262103E1,2.532864656E1
2.963357292E0,1.369261676E-2,-1.349632682E0,2.507116736E1,2.510747157E1
2.973386292E0,-2.577306662E-1,-1.698456518E0,2.379052890E1,2.385247252E1
2.983415292E0,-9.622082330E-1,-2.062634411E0,2.244752170E1,2.256261368E1
2.993444292E0,-1.704692427E0,-2.301120995E0,2.083169043E1,2.102761186E1
3.003473292E0,-1.822268094E0,-2.096401936E0,1.856674923E1,1.877337847E1
3.013503292E0,-1.585349294E0,-1.159259327E0,1.522062277E1,1.534680983E1
3.023532292E0,-1.324426066E0,2.220390974E-1,1.115216053E1,1.123272408E1
3.033561292E0,-1.078625200E0,1.254770233E0,7.277162181E0,7.462906274E0
3.043590292E0,-9.654720026E-1,1.726891235E0,3.992898678E0,4.456178786E0
3.053619292E0,-6.780783565E-1,1.911841005E0,1.294298726E0,2.406270035E0
3.063648292E0,-2.791024769E-1,2.087464466E0,-1.114548885E0,2.382776806E0
3.073678292E0,4.365870710E-1,2.223096773E0,-3.261887963E0,3.971483427E0
3.083707292E0,1.474010561E0,1.960972527E0,-4.839143395E0,5.425442764E0
3.093736292E0,1.799025265E0,1.669984379E0,-5.396897017E0,5.928898476E0
3.103765292E0,1.294829946E0,1.509323065E0,-5.642553749E0,5.982729604E0
3.113794292E0,6.799838179E-1,9.893813404E-1,-5.948463115E0,6.068399036E0
3.123823292E0,1.685850213E-1,2.204923627E-1,-6.079826077E0,6.086158306E0
3.133853292E0,-7.765650563E-2,-5.166918424E-1,-5.859688348E0,5.882937067E0
3.143882292E0,-3.576441414E-1,-9.712982413E-1,-5.638334983E0,5.732551874E0
